algorithm,embedding_mode,train_sigma,eval_sigma,mean_reward,reward_std
sac_v2_bus,full,1.0,1.0,-369088.10109019355,9590.388828562018
sac_v2_bus,full,1.0,1.5,-496252.7490991101,13737.836600634919
sac_v2_bus,full,1.0,2.0,-622695.0329566239,12484.135907891003
sac_v2_bus,full,1.5,1.0,-347406.1980869706,13238.854498645262
sac_v2_bus,full,1.5,1.5,-479445.1920419743,16540.480548957054
sac_v2_bus,full,1.5,2.0,-608361.6393041263,21113.492571447525
sac_v2_bus,full,2.0,1.0,-322753.3459919573,9053.775886372923
sac_v2_bus,full,2.0,1.5,-436687.2682906481,8818.442800222201
sac_v2_bus,full,2.0,2.0,-554206.312797105,12489.467673541218
sac_v2_bus,one_hot,1.0,1.0,-362263.93354731076,9733.989061422226
sac_v2_bus,one_hot,1.0,1.5,-474183.6298510498,10901.012065621599
sac_v2_bus,one_hot,1.0,2.0,-585729.7693479683,19172.69214519978
sac_v2_bus,one_hot,1.5,1.0,-341487.44421852176,10495.152154136355
sac_v2_bus,one_hot,1.5,1.5,-475766.23812233633,14439.932879575452
sac_v2_bus,one_hot,1.5,2.0,-593980.5167306304,17096.282250873785
sac_v2_bus,one_hot,2.0,1.0,-350888.7249119562,8484.673904581248
sac_v2_bus,one_hot,2.0,1.5,-485953.55091431626,13602.989174131035
sac_v2_bus,one_hot,2.0,2.0,-617161.3901540454,19626.844672977546
sac_v2_bus,none,1.0,1.0,-343490.1776932475,12734.922143340074
sac_v2_bus,none,1.0,1.5,-477979.6844504176,11696.61963958925
sac_v2_bus,none,1.0,2.0,-602486.7973138946,15722.486088043797
sac_v2_bus,none,1.5,1.0,-347477.2070726435,13371.833177039836
sac_v2_bus,none,1.5,1.5,-483541.99822060426,17338.29614405523
sac_v2_bus,none,1.5,2.0,-611327.4294134974,15358.484387918048
sac_v2_bus,none,2.0,1.0,-366239.2305941839,10720.225267994563
sac_v2_bus,none,2.0,1.5,-517177.2735385814,11477.40580906223
sac_v2_bus,none,2.0,2.0,-651551.7227493867,17934.12341572076
ddpg_bus,full,1.0,1.0,-714466.3000926445,29599.609149919193
ddpg_bus,full,1.0,1.5,-992170.3608904699,41520.14376878899
ddpg_bus,full,1.0,2.0,-1251367.3215964213,57028.34815846395
ddpg_bus,full,1.5,1.0,-698692.2819116977,42138.42024627017
ddpg_bus,full,1.5,1.5,-981500.8082326668,42740.907315910044
ddpg_bus,full,1.5,2.0,-1255370.9397507505,53092.47788137867
ddpg_bus,full,2.0,1.0,-712631.8440124416,21154.240419801048
ddpg_bus,full,2.0,1.5,-989934.8598551784,46063.682317136
ddpg_bus,full,2.0,2.0,-1257885.568803815,47486.27566928642
ddpg_bus,one_hot,1.0,1.0,-708052.9395368905,31877.529805937946
ddpg_bus,one_hot,1.0,1.5,-995222.2186165866,45155.77340208642
ddpg_bus,one_hot,1.0,2.0,-1259617.4962850919,55654.16866548087
ddpg_bus,one_hot,1.5,1.0,-698610.1278096524,32680.347123676987
ddpg_bus,one_hot,1.5,1.5,-952498.2428568552,38286.10281961132
ddpg_bus,one_hot,1.5,2.0,-1239637.1770618265,54664.020837056196
ddpg_bus,one_hot,2.0,1.0,-690850.366027868,31808.762987805996
ddpg_bus,one_hot,2.0,1.5,-992645.876730845,27312.4604699974
ddpg_bus,one_hot,2.0,2.0,-1227311.5936531492,54021.696785081374
ddpg_bus,none,1.0,1.0,-698919.5713667594,30739.719500293995
ddpg_bus,none,1.0,1.5,-996262.2162080521,31646.574115348605
ddpg_bus,none,1.0,2.0,-1253141.6856541096,57168.47259063228
ddpg_bus,none,1.5,1.0,-721229.8673968898,19134.309574346044
ddpg_bus,none,1.5,1.5,-1003234.2110671612,42678.8033748332
ddpg_bus,none,1.5,2.0,-1260021.2693648706,62119.345617653176
ddpg_bus,none,2.0,1.0,-698304.760065313,29998.903539898543
ddpg_bus,none,2.0,1.5,-990647.0488506998,34355.96291244018
ddpg_bus,none,2.0,2.0,-1243928.635137816,49658.67179113849
