traveling_time,waiting_time,headway
1440,133,0.0
2261,133,0.0
1344,117,0.0
1996,87,0.0
1140,354,0.0
697,317,0.0
1054,274,-7.5
697,201,-7.0
2100,110,3.0
1400,100,14.5
154,55,22.5
250,55,22.5
1734,38,35.0
700,261,36.5
2137,210,65.5
1880,79,65.5
290,350,65.5
1334,315,-56.0
620,169,-56.0
238,158,-129.5
822,116,-121.0
2020,14,-96.0
1344,250,0.0
1501,114,-9.0
1471,77,-13.5
164,14,-26.5
1916,272,-24.0
426,97,-18.0
525,48,237.0
423,252,394.5
247,154,351.5
61,92,373.5
786,340,372.5
248,276,375.0
67,148,372.5
1171,97,365.0
1745,42,371.5
176,24,373.0
1745,23,375.0
538,320,368.0
1040,290,365.0
1515,247,381.0
1040,240,402.0
2187,188,185.0
279,124,0.0
1775,86,-3.0
279,16,-4.5
2179,209,5.0
115,197,-17.0
1488,146,150.5
1014,89,201.0
1295,51,59.0
1965,8,63.5
773,258,66.0
2213,238,76.5
1648,152,79.0
1311,144,84.0
1758,128,93.5
416,121,98.5
1827,91,96.5
1827,89,101.0
355,21,117.5
121,10,122.5
113,358,126.5
2020,348,127.0
1947,284,124.0
254,213,0.0
2020,47,-1.5
2383,351,9.0
256,323,5.0
1287,317,8.0
2241,226,40.5
1146,223,231.0
2383,162,297.5
2177,161,384.5
878,86,482.5
1787,79,479.0
256,72,467.0
2241,30,469.5
583,285,473.0
2304,169,473.5
1322,136,468.0
1915,373,472.5
1343,352,477.5
1980,334,485.0
274,329,492.0
1343,254,496.0
1343,167,479.0
2357,140,0.0
1343,66,-6.0
2509,34,-3.0
189,8,-9.0
887,8,-17.5
1428,337,194.0
1559,334,142.5
1962,298,367.0
2310,273,308.5
2408,180,314.0
1379,108,312.5
1236,54,310.0
610,52,307.0
1886,18,303.0
1559,7,308.5
250,328,312.0
1997,258,319.0
2043,243,282.5
180,52,329.0
989,36,488.0
934,204,517.0
934,196,654.0
2196,28,0.0
711,315,1.5
316,283,-5.5
1520,203,-5.0
