traveling_time,waiting_time,headway
468,30,0.0
892,243,0.0
611,223,0.0
649,210,0.0
1013,210,0.0
1843,190,0.0
420,170,5.009999999999991
649,170,-49.99000000000001
352,130,-78.99000000000001
945,110,-91.99000000000001
352,30,-106.99000000000001
1290,30,-103.99000000000001
72,326,-141.99
356,323,-102.99000000000001
286,283,-39.99000000000001
1863,283,-39.99000000000001
681,263,-42.99000000000001
356,243,-78.99000000000001
819,243,-78.99000000000001
1781,203,-124.99000000000001
681,163,-7.009999999999991
1073,63,10.990000000000009
1229,3,-20.00999999999999
1134,314,-29.01000000000022
788,294,-16.0
975,194,14.0
235,34,25.0
282,290,-59.0
463,10,-62.0
72,151,-54.0
1116,111,-88.0
590,91,14.0
1630,31,10.0
73,343,45.0
883,143,-54.0
586,103,216.0
330,3,213.0
1730,322,310.0
1634,282,335.0
386,242,364.0
299,222,-12.010000000000218
386,202,33.98999999999978
1730,202,17.98999999999978
1226,162,41.98999999999978
1155,142,36.0
1043,102,67.0
1408,152,73.0
404,112,95.0
1116,112,-36.0
799,303,-16.0
1221,283,14.0
799,243,40.0
177,143,185.0
1034,143,211.0
1728,23,205.0
1311,287,110.0
427,187,272.0
1563,147,264.0
1411,127,249.0
1311,107,216.0
1483,67,-83.01000000000022
1652,47,-78.01000000000022
507,27,-105.01000000000022
1360,363,-98.01000000000022
1939,343,-92.01000000000022
465,303,-177.0
1713,83,-167.0
1287,63,-167.0
541,3,-127.0
84,251,-130.0
398,211,-130.0
1172,171,-125.0
654,111,-176.0
654,91,-229.0
470,71,-271.0
320,31,-282.0
972,346,-310.0
843,246,-229.0
397,166,-233.0
972,146,-205.0
652,126,5.989999999999782
652,106,-129.01000000000022
1620,66,-129.01000000000022
1271,303,-133.01000000000022
689,283,-76.0
507,183,-38.0
953,103,-48.0
593,351,-70.0
160,331,-12.0
261,171,-11.0
788,151,8.0
788,151,-30.0
1396,131,-15.0
1396,111,104.0
1004,91,163.0
160,11,225.0
1059,357,270.0
1059,277,268.0
463,217,262.0
1542,197,318.0
99,97,-83.01000000000022
1192,37,-94.01000000000022
1542,37,-44.01000000000022
385,323,-79.01000000000022
1168,203,-96.0
1494,183,-146.0
1705,163,-155.0
1396,3,-168.0
1506,224,-136.0
657,204,-136.0
815,184,-110.0
392,164,-139.0
246,124,8.0
1606,104,22.0
815,64,35.0
1755,317,63.0
728,257,54.0
887,197,45.0
1531,197,49.0
959,97,63.0
615,57,-6.010000000000218
615,37,1.9899999999997817
254,317,4.989999999999782
1127,177,26.98999999999978
789,77,0.9899999999997817
900,17,2.0
753,344,15.0
214,184,13.0
903,164,71.0
903,144,195.0
117,104,185.0
142,317,219.0
142,277,209.99999999999818
896,217,222.99999999999818
1160,57,354.9999999999982
1746,57,360.0
988,360,378.0
1775,360,413.0
903,320,420.0
821,220,421.0
512,140,-2.0099999999983993
685,140,-41.0099999999984
1310,140,-21.0099999999984
1633,140,-19.0099999999984
685,100,-55.0
234,60,-102.0
133,0,-98.0
440,0,-165.0
1633,0,-189.0
287,283,-215.0
1059,203,-197.0
892,103,-136.0
199,23,-144.0
1202,263,-129.0
710,223,-54.0
1062,203,-33.0
861,143,-47.0
232,123,-58.0
650,83,-78.0
791,23,-89.0
1655,97,10.9900000000016
853,327,20.9900000000016
1786,287,-5.009999999998399
493,247,29.0
676,247,116.0
1104,207,151.0
1007,147,137.0
1593,400,131.0
167,320,132.0
1053,320,120.0
815,260,145.0
1053,240,65.0
1413,220,66.0
1285,180,107.0
971,140,71.0
677,100,55.0
1992,280,37.0
1992,280,38.0
175,260,51.0
2095,260,36.0
1139,240,-56.0099999999984
474,220,-95.0099999999984
1139,220,-91.0099999999984
706,160,-101.0099999999984
474,120,-140.0099999999984
1633,80,-91.0
253,60,-104.0
1497,60,-144.0
1809,60,-157.0
474,20,-161.0
1404,20,-225.0
253,0,-185.0
908,0,-93.0
1385,300,-63.0
1032,220,-79.0
294,180,-127.0
1913,180,-134.0
1775,160,-184.0
1032,140,-187.0
2096,120,-157.0
1697,100,-18.0099999999984
1379,344,-18.0099999999984
258,324,-28.0099999999984
836,244,-127.0
86,224,-116.0
1379,164,-125.0
1573,104,-130.0
86,64,-152.0
457,4,-167.0
826,381,-195.0
299,321,-210.0
1594,321,-146.0
1886,321,-160.0
1696,301,-169.0
648,241,-162.0
1594,181,-166.0
1322,61,-246.0
1469,204,-307.0
1554,124,-351.0
1934,84,-362.0
220,4,-16.0099999999984
565,247,28.9900000000016
565,227,-3.0099999999983993
1432,187,-25.0099999999984
1585,187,-62.0
1041,127,-72.0
1585,107,-98.0
270,7,-128.0
613,200,-90.0
980,200,-64.0
1248,120,-49.0
1475,100,-185.0
758,60,-182.0
758,40,-202.0
615,340,-143.0
426,280,-125.0
1132,280,-123.0
615,240,-174.0
1337,200,-212.0
982,140,-243.0
848,120,-53.0099999999984
1337,80,-74.0099999999984
307,60,-69.0099999999984
231,40,-85.01000000000204
1131,316,-77.0
1569,316,-42.0
698,296,-12.0
834,276,-28.0
1713,236,-40.0
1429,216,-34.0
1131,176,-75.0
1429,156,-139.0
540,36,-208.0
1332,252,-277.0
806,232,-318.0
1465,232,-362.0
1588,192,-371.0
1113,172,-375.0
1272,172,-440.0
512,132,-462.0
70,72,-29.010000000002037
1635,171,-21.010000000002037
940,151,-18.010000000002037
591,111,-19.010000000002037
1566,71,6.0
1126,331,1.0
1259,311,11.0
1458,311,-5.0
345,291,-11.0
1396,271,40.0
1259,211,-113.0
421,191,-123.0
1259,171,-91.0
1052,111,-74.0
1259,51,-38.0
1089,297,-80.0
534,257,-87.0
415,117,-62.0
415,17,-43.0
382,277,-48.0
650,177,56.98999999999796
1595,137,72.98999999999796
1285,97,69.98999999999796
830,77,60.98999999999796
1429,57,102.0
1213,304,99.0
1288,264,102.0
358,184,111.0
1213,164,119.0
64,64,126.0
455,64,41.0
1492,64,72.0
1378,317,48.0
1378,317,134.0
760,257,152.0
374,97,163.0
333,360,158.0
976,300,162.0
